Title,Video ID,Artist,Song
Vance Joy  - We're Going Home [Official Video],qETfaJXx22g,Vance Joy,We're Going Home [Official Video]
Soundgarden - Black Hole Sun,3mbBbFH9fAg,Soundgarden,Black Hole Sun
Fever - Peggy Lee,JGb5IweiYG8,Fever,Peggy Lee
All Too Well / Taylor Swift (Lyrics),_DMGOiA9Yj0,Unknown,All Too Well / Taylor Swift (Lyrics)
The Coasters   Sh Boom Life Could Be A Dream,jEP224Sa4Rw,Unknown,The Coasters   Sh Boom Life Could Be A Dream
Sushant KC - Yaad Ft. Brijesh Shrestha,68ZJ5SZEElA,Sushant KC,Yaad Ft. Brijesh Shrestha
Selena Gomez - Only You (Lyric Video),T2urfFpDX1c,Selena Gomez,Only You (Lyric Video)
ZAYN - LIKE I WOULD,pTaqcGz2O5o,ZAYN,LIKE I WOULD
The Lumineers - Ophelia,pTOC_q0NLTk,The Lumineers,Ophelia
Sasha Alex Sloan - Dancing With Your Ghost (Lyric Video),Qzc_aX8c8g4,Sasha Alex Sloan,Dancing With Your Ghost (Lyric Video)
PALAYE ROYALE - Punching Bag (Official Music Video),0WzprXZGoLs,PALAYE ROYALE,Punching Bag (Official Music Video)
Finn - In Luv with U,HiHJl0IeU_8,Finn,In Luv with U
samiian - cry on cue pls,xVvWn0dUMHc,samiian,cry on cue pls
"Vansire - Lonely Zone (feat. Mellow Fellow, Ruru, & Paul Cherry)",Z8-6Kn38D9g,Vansire,"Lonely Zone (feat. Mellow Fellow, Ruru, & Paul Cherry)"
Vansire - That I Miss You (Official Music Video),CG-Qco4zs_s,Vansire,That I Miss You (Official Music Video)
Vansire - Nice To See You (feat. Floor Cry),IX0vZK_l7tU,Vansire,Nice To See You (feat. Floor Cry)
Vansire - Metamodernity,bR9pcz7NzTk,Vansire,Metamodernity
Nachahe ko Hoina - The Edge Band I Jeewan Gurung,0j4XhaDjDEE,Nachahe ko Hoina,The Edge Band I Jeewan Gurung
Sushant KC - Behos,XbM6PyRsJc4,Sushant KC,Behos
Sushant KC - Risaune Bhaye,cNBmzxE6Jf0,Sushant KC,Risaune Bhaye
Rain Jewels feat. Lilla My - Mess,lmH-r_XccGc,Rain Jewels feat. Lilla My,Mess
Rebelution - Feeling Alright,V6cMkhhqn6k,Rebelution,Feeling Alright
Fleetwood Mac - Dreams [with lyrics],mrZRURcb1cM,Fleetwood Mac,Dreams [with lyrics]
Vance Joy - Riptide (Lyrics),lYoWuaw5nSk,Vance Joy,Riptide (Lyrics)
"Calvin Harris, Sam Smith - Promises (Official Lyric Video)",dTQMd2I3drE,"Calvin Harris, Sam Smith",Promises (Official Lyric Video)
Sean Hayes - Powerful Stuff (Run Wolves Run),Zbu7pJWvEeY,Sean Hayes,Powerful Stuff (Run Wolves Run)
Sublime - What I Got (Official Music Video),0Uc3ZrmhDN4,Sublime,What I Got (Official Music Video)
America-A Horse With No Name Lyrics,1iiDp6ga_qQ,Unknown,America-A Horse With No Name Lyrics
One Punch Man OST - Peaceful Days (Original),nVhu1CiwmNA,One Punch Man OST,Peaceful Days (Original)
