Title,Views,Likes
Sting - Shape of My Heart (Leon),368301107,1969096
Trevor Daniel - I Don't Know (Lyrics),471198,5248
Joji - SLOW DANCING IN THE DARK,413540619,5414752
ZAYN - Better (Official Video),46527939,1735618
ZAYN - Outside (Audio),6124246,213361
ZAYN - Vibez (Official Video),42581974,1470695
flora cash - You're Somebody Else (Lyric Video),230614107,2354493
Avicii - The Nights,939857305,10096261
NF - When I Grow Up,246412079,3713656
KALEO - Way Down We Go (Official Music Video),687932016,6405402
"Agar Tum Saath Ho FULL AUDIO Song | Tamasha | Ranbir Kapoor, Deepika Padukone | T-Series",366639024,2347422
Raabta(Kehte Hain Khuda) Lyrics - Arijit Singh | Agent Vinod,40510149,460613
"Main Rahoon Ya Na Rahoon Full Video | Emraan Hashmi, Esha Gupta | Amaal Mallik, Armaan Malik",401496699,2928866
Lekali - Samjhana Birsana (Mashup) - Wonderfools (Ruslan Namaste LIVE) (HD) (HUAWEI Namaste TV Show),17093830,117100
Rohit John Chettri | Bistarai Bistarai | Official Lyric Video,14323896,93427
Sushant KC - Gulabi (Official Lyric Video),36801522,200542
Sajjan Raj Vaidya - Phutki Jaaney Jovan  [Official Video],18715739,248486
Nyano Ghar - Dibesh Pokharel,19162880,189094
Sushant KC - Maya ma (Official Music Video),36952954,258763
"Sajjan Raj Vaidya - Hataarindai, Bataasindai [Official Release]",39963005,255040
Salil Maharjan - Chitta Bujhaunu w Nikesh Y. Acharya (OFFICIAL LYRIC VIDEO),5796402,60200
JP Saxe - If the World Was Ending (Official Video) ft. Julia Michaels,197795876,2169585
"Saturday Nights - Chill out music mix - Khalid, Ali Gatie, Jeremy Zucker...",72781633,595040
Lord Huron - The Night We Met (Official Lyric Video),279917563,2908690
Sajjan Raj Vaidya - Chitthi Bhitra [Official Release],69996141,363354
Audrey Mika - Excuses (Lyrics),60270,1778
ROSIE - Never the 1 (Lyrics),6721497,79244
Tate McRae - r u ok (Lyrics),9181248,74008
Tate McRae - stupid (Lyrics),26956487,240819
Tate McRae - friends don't look at friends that way (Lyrics),29700347,212302
Tate McRae & Ali Gatie - lie to me (Lyrics),53327016,406165
Tate McRae - you broke me first (Lyrics),316815571,2940938
grover washington jr - just the two of us (TikTok Remix) [Lyrics],78108337,1190280
Tove Lo - Talking Body,198771849,1393421
