Title,Views,Likes
Sajjan Raj Vaidya - Phutki Jaaney Jovan  [Official Video],18719218,248497
Nyano Ghar - Dibesh Pokharel,19170005,189125
Sushant KC - Maya ma (Official Music Video),36964306,258819
"Sajjan Raj Vaidya - Hataarindai, Bataasindai [Official Release]",39968150,255081
Salil Maharjan - Chitta Bujhaunu w Nikesh Y. Acharya (OFFICIAL LYRIC VIDEO),5796872,60199
JP Saxe - If the World Was Ending (Official Video) ft. Julia Michaels,197850673,2169882
"Saturday Nights - Chill out music mix - Khalid, Ali Gatie, Jeremy Zucker...",72781633,594998
Lord Huron - The Night We Met (Official Lyric Video),280236950,2910888
Sajjan Raj Vaidya - Chitthi Bhitra [Official Release],70011999,363443
Audrey Mika - Excuses (Lyrics),60287,1779
ROSIE - Never the 1 (Lyrics),6721740,79240
Tate McRae - r u ok (Lyrics),9181567,74002
Tate McRae - stupid (Lyrics),26957683,240808
Tate McRae - friends don't look at friends that way (Lyrics),29700978,212292
Tate McRae & Ali Gatie - lie to me (Lyrics),53335743,406182
Tate McRae - you broke me first (Lyrics),316911096,2941109
grover washington jr - just the two of us (TikTok Remix) [Lyrics],78112650,1190257
Tove Lo - Talking Body,198811342,1393586
